Column1,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
12136,Tristan Thompson,CHI,31,205.74,115.212368,Texas-Austin,Canada,2011,1,4,57,6,5.1,0.6,-3.6,0.125,0.196,0.168,0.541,0.054,2021-22
11763,Eric Gordon,HOU,33,190.5,97.52228,Indiana,USA,2008,1,7,57,13.4,2,2.7,-5.1,0.009,0.056,0.182,0.614,0.137,2021-22
11918,Anfernee Simons,POR,23,190.5,82.100152,None,USA,2018,1,24,57,17.3,2.6,3.9,-2.5,0.015,0.075,0.244,0.583,0.219,2021-22
11803,Jimmy Butler,MIA,32,200.66,104.32616,Marquette,USA,2011,1,30,57,21.4,5.9,5.5,6.1,0.055,0.125,0.26,0.592,0.264,2021-22
11816,Ja Morant,MEM,22,190.5,78.925008,Murray State,USA,2019,1,2,57,27.4,5.7,6.7,4.1,0.037,0.124,0.33,0.575,0.33,2021-22
11735,Frank Ntilikina,DAL,23,193.04,90.7184,None,France,2017,1,8,58,4.1,1.4,1.2,4.3,0.016,0.094,0.165,0.513,0.149,2021-22
11762,Eric Paschall,UTA,25,198.12,115.66596,Villanova,USA,2019,2,41,58,5.8,1.8,0.6,-2.3,0.042,0.1,0.174,0.612,0.074,2021-22
11881,CJ Elleby,POR,22,198.12,90.7184,Washington State,USA,2020,2,46,58,5.8,3.9,1.5,-14.3,0.052,0.141,0.143,0.491,0.109,2021-22
12046,Patrick Beverley,MIN,33,185.42,81.64656,Arkansas,USA,2009,2,42,58,9.2,4.1,4.6,3.7,0.038,0.119,0.158,0.539,0.249,2021-22
11871,Cameron Payne,PHX,27,185.42,83.007336,Murray State,USA,2015,1,14,58,10.8,3,4.9,6.3,0.018,0.109,0.235,0.5,0.318,2021-22
11725,Hamidou Diallo,DET,23,195.58,91.625584,Kentucky,USA,2018,2,45,58,11,4.8,1.3,-7.6,0.049,0.162,0.213,0.541,0.098,2021-22
11870,Caris LeVert,CLE,27,198.12,92.98636,Michigan,USA,2016,1,20,58,17,3.7,4.3,-1.8,0.024,0.097,0.252,0.525,0.219,2021-22
11957,Deandre Ayton,PHX,23,210.82,113.398,Arizona,Bahamas,2018,1,1,58,17.2,10.2,1.4,9.6,0.093,0.241,0.217,0.656,0.071,2021-22
11709,Garrett Temple,NOP,36,195.58,88.45044,Louisiana State,USA,Undrafted,Undrafted,Undrafted,59,5.2,2.4,1.3,-13.7,0.024,0.106,0.136,0.494,0.102,2021-22
12215,Keita Bates-Diop,SAS,26,203.2,103.872568,Ohio State,USA,2018,2,48,59,5.7,3.9,0.7,0.8,0.061,0.163,0.144,0.578,0.059,2021-22
12268,Maxi Kleber,DAL,30,208.28,108.86208,None,Germany,Undrafted,Undrafted,Undrafted,59,7,5.9,1.2,3.9,0.047,0.182,0.131,0.537,0.067,2021-22
12255,Nicolas Batum,LAC,33,203.2,104.32616,None,France,2008,1,25,59,8.3,4.3,1.7,-4.4,0.019,0.146,0.13,0.608,0.099,2021-22
11928,De'Aaron Fox,SAC,24,190.5,83.91452,Kentucky,USA,2017,1,5,59,23.2,3.9,5.6,-4.4,0.012,0.096,0.284,0.549,0.254,2021-22
12091,Trent Forrest,UTA,24,193.04,95.25432,Florida State,USA,Undrafted,Undrafted,Undrafted,60,3.3,1.7,1.8,4.5,0.031,0.093,0.124,0.554,0.188,2021-22
11751,Dwight Howard,LAL,36,208.28,120.20188,None,USA,2004,1,1,60,6.2,5.9,0.6,-5.7,0.12,0.246,0.145,0.657,0.049,2021-22
11971,Chimezie Metu,SAC,25,205.74,102.0582,Southern California,USA,2018,2,49,60,8.9,5.6,1,-5.7,0.027,0.227,0.184,0.546,0.071,2021-22
11877,Caleb Martin,MIA,26,195.58,92.98636,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted,60,9.2,3.8,1.1,5.7,0.054,0.114,0.158,0.611,0.068,2021-22
12103,Talen Horton-Tucker,LAL,21,193.04,106.140528,Iowa State,USA,2019,2,46,60,10,3.2,2.7,-2.2,0.024,0.1,0.189,0.503,0.153,2021-22
12088,Tre Mann,OKC,21,190.5,80.739376,Florida,USA,2021,1,18,60,10.4,2.9,1.5,-10.3,0.017,0.101,0.213,0.501,0.108,2021-22
11911,Austin Reaves,LAL,24,195.58,89.357624,Oklahoma,USA,Undrafted,Undrafted,Undrafted,61,7.3,3.2,1.8,1.8,0.031,0.099,0.121,0.6,0.101,2021-22
11890,Alekesej Pokusevski,OKC,20,213.36,86.18248,None,Serbia,2020,1,17,61,7.6,5.2,2.1,-2.5,0.054,0.189,0.195,0.485,0.161,2021-22
12040,Robert Williams III,BOS,24,205.74,107.501304,Texas A&M,USA,2018,1,27,61,10,9.6,2,10,0.131,0.178,0.112,0.745,0.095,2021-22
11706,Gary Harris,ORL,27,193.04,95.25432,Michigan State,USA,2014,1,19,61,11.1,2,1.8,-5.9,0.02,0.048,0.16,0.571,0.094,2021-22
11980,Coby White,CHI,22,193.04,88.45044,North Carolina,USA,2019,1,7,61,12.7,3,2.9,-1.2,0.011,0.099,0.195,0.564,0.147,2021-22
12176,Lauri Markkanen,CLE,25,210.82,108.86208,Arizona,Finland,2017,1,7,61,14.8,5.7,1.3,3.9,0.033,0.147,0.192,0.582,0.062,2021-22
12159,Kevin Porter Jr.,HOU,22,193.04,92.079176,Southern California,USA,2019,1,30,61,15.6,4.4,6.2,-6.7,0.022,0.111,0.239,0.531,0.302,2021-22
12206,Jordan McLaughlin,MIN,26,180.34,83.91452,Southern California,USA,Undrafted,Undrafted,Undrafted,62,3.8,1.5,2.9,2.4,0.023,0.075,0.115,0.535,0.258,2021-22
12116,Trey Murphy III,NOP,22,203.2,93.439952,Virginia,USA,2021,1,17,62,5.4,2.4,0.6,0.3,0.049,0.122,0.147,0.558,0.065,2021-22
11832,James Johnson,BKN,35,200.66,108.86208,Wake Forest,USA,2009,1,16,62,5.5,3.5,2.1,-1.6,0.041,0.127,0.136,0.513,0.153,2021-22
11940,Danny Green,PHI,35,198.12,97.52228,North Carolina,USA,2009,2,46,62,5.9,2.5,1,3,0.025,0.091,0.121,0.561,0.065,2021-22
11909,Avery Bradley,LAL,31,190.5,81.64656,Texas-Austin,USA,2010,1,19,62,6.4,2.2,0.8,-5.8,0.021,0.073,0.119,0.55,0.046,2021-22
12205,Jordan Nwora,MIL,23,203.2,102.0582,Louisville,USA,2020,2,45,62,7.9,3.6,1,-3,0.03,0.147,0.187,0.506,0.071,2021-22
12038,Ziaire Williams,MEM,20,205.74,83.91452,Stanford,USA,2021,1,10,62,8.1,2.1,1,4.2,0.017,0.071,0.144,0.559,0.062,2021-22
11776,Jaylen Nowell,MIN,22,193.04,91.171992,Washington,USA,2019,2,43,62,8.5,2,2.1,2.8,0.022,0.1,0.205,0.581,0.197,2021-22
12119,Wendell Carter Jr.,ORL,23,208.28,122.46984,Duke,USA,2018,1,7,62,15,10.5,2.8,-3.7,0.074,0.26,0.206,0.601,0.15,2021-22
11743,Domantas Sabonis,SAC,26,210.82,108.86208,Gonzaga,Lithuania,2016,1,11,62,18.9,12.1,5.2,-0.6,0.092,0.264,0.221,0.637,0.239,2021-22
11880,CJ McCollum,NOP,30,190.5,86.18248,Lehigh,USA,2013,1,10,62,22.1,4.3,5.1,-1.9,0.024,0.101,0.269,0.553,0.238,2021-22
12181,Lamar Stevens,CLE,24,198.12,104.32616,Penn State,USA,Undrafted,Undrafted,Undrafted,63,6.1,2.6,0.7,-1.3,0.048,0.112,0.169,0.544,0.066,2021-22
